Time,X(CH1),
Second,Volt,
-7.4359996e-05,-5.00000e-02,
-7.4349999e-05,-5.00000e-02,
-7.4340001e-05,-5.00000e-02,
-7.4330004e-05,-5.00000e-02,
-7.4320007e-05,-5.00000e-02,
-7.4310010e-05,-5.00000e-02,
-7.4300013e-05,-5.00000e-02,
-7.4290016e-05,-5.00000e-02,
-7.4280018e-05,-5.00000e-02,
-7.4270021e-05,-5.00000e-02,
-7.4260024e-05,-5.00000e-02,
-7.4250027e-05,-5.00000e-02,
-7.4240030e-05,-5.00000e-02,
-7.4230033e-05,-5.00000e-02,
-7.4220035e-05,-5.00000e-02,
-7.4210038e-05,-5.00000e-02,
-7.4200041e-05,-5.00000e-02,
-7.4190044e-05,-5.00000e-02,
-7.4180047e-05,-5.00000e-02,
-7.4170050e-05,-5.00000e-02,
-7.4160052e-05,-5.00000e-02,
-7.4150055e-05,-5.00000e-02,
-7.4140058e-05,-5.00000e-02,
-7.4130061e-05,-5.00000e-02,
-7.4120064e-05,-5.00000e-02,
-7.4110067e-05,-5.00000e-02,
-7.4100069e-05,-5.00000e-02,
-7.4090072e-05,-5.00000e-02,
-7.4080075e-05,-5.00000e-02,
-7.4070078e-05,-5.00000e-02,
-7.4060081e-05,-5.00000e-02,
-7.4050084e-05,-5.00000e-02,
-7.4040086e-05,-5.00000e-02,
-7.4030089e-05,-5.00000e-02,
-7.4020092e-05,-5.00000e-02,
-7.4010095e-05,-5.00000e-02,
-7.4000098e-05,-5.00000e-02,
-7.3990101e-05,-5.00000e-02,
-7.3980103e-05,-5.00000e-02,
-7.3970106e-05,-5.00000e-02,
-7.3960109e-05,-5.00000e-02,
-7.3950112e-05,-5.00000e-02,
-7.3940115e-05,-5.00000e-02,
-7.3930118e-05,-5.00000e-02,
-7.3920120e-05,-5.00000e-02,
-7.3910123e-05,-5.00000e-02,
-7.3900126e-05,-5.00000e-02,
-7.3890129e-05,-5.00000e-02,
-7.3880132e-05,-5.00000e-02,
-7.3870135e-05,-5.00000e-02,
-7.3860137e-05,-5.00000e-02,
-7.3850140e-05,-5.00000e-02,
-7.3840143e-05,-5.00000e-02,
-7.3830146e-05,-5.00000e-02,
-7.3820149e-05,-5.00000e-02,
-7.3810152e-05,-5.00000e-02,
-7.3800154e-05,-5.00000e-02,
-7.3790157e-05,-5.00000e-02,
-7.3780160e-05,-5.00000e-02,
-7.3770163e-05,-5.00000e-02,
-7.3760166e-05,-5.00000e-02,
-7.3750169e-05,-5.00000e-02,
-7.3740172e-05,-5.00000e-02,
-7.3730174e-05,-5.00000e-02,
-7.3720177e-05,-5.00000e-02,
-7.3710180e-05,-5.00000e-02,
-7.3700183e-05,-5.00000e-02,
-7.3690186e-05,-5.00000e-02,
-7.3680189e-05,-5.00000e-02,
-7.3670191e-05,-5.00000e-02,
-7.3660194e-05,-5.00000e-02,
-7.3650197e-05,-5.00000e-02,
-7.3640200e-05,-5.00000e-02,
-7.3630203e-05,-5.00000e-02,
-7.3620206e-05,-5.00000e-02,
-7.3610208e-05,-5.00000e-02,
-7.3600211e-05,-5.00000e-02,
-7.3590214e-05,-5.00000e-02,
-7.3580217e-05,-5.00000e-02,
-7.3570220e-05,-5.00000e-02,
-7.3560223e-05,-5.00000e-02,
-7.3550225e-05,-5.00000e-02,
-7.3540228e-05,-5.00000e-02,
-7.3530231e-05,-5.00000e-02,
-7.3520234e-05,-5.00000e-02,
-7.3510237e-05,-5.00000e-02,
-7.3500240e-05,-5.00000e-02,
-7.3490242e-05,-5.00000e-02,
-7.3480245e-05,-5.00000e-02,
-7.3470248e-05,-5.00000e-02,
-7.3460251e-05,-5.00000e-02,
-7.3450254e-05,-5.00000e-02,
-7.3440257e-05,-5.00000e-02,
-7.3430259e-05,-5.00000e-02,
-7.3420262e-05,-5.00000e-02,
-7.3410265e-05,-5.00000e-02,
-7.3400268e-05,-5.00000e-02,
-7.3390271e-05,-5.00000e-02,
-7.3380274e-05,-5.00000e-02,
-7.3370276e-05,-5.00000e-02,
-7.3360279e-05,-5.00000e-02,
-7.3350282e-05,-5.00000e-02,
-7.3340285e-05,-5.00000e-02,
-7.3330288e-05,-5.00000e-02,
-7.3320291e-05,-5.00000e-02,
-7.3310293e-05,-5.00000e-02,
-7.3300296e-05,-5.00000e-02,
-7.3290299e-05,-5.00000e-02,
-7.3280302e-05,-5.00000e-02,
-7.3270305e-05,-5.00000e-02,
-7.3260308e-05,-5.00000e-02,
-7.3250310e-05,-5.00000e-02,
-7.3240313e-05,-5.00000e-02,
-7.3230316e-05,-5.00000e-02,
-7.3220319e-05,-5.00000e-02,
-7.3210322e-05,-5.00000e-02,
-7.3200325e-05,-5.00000e-02,
-7.3190327e-05,-5.00000e-02,
-7.3180330e-05,-5.00000e-02,
-7.3170333e-05,-5.00000e-02,
-7.3160336e-05,-5.00000e-02,
-7.3150339e-05,-5.00000e-02,
-7.3140342e-05,-5.00000e-02,
-7.3130344e-05,-5.00000e-02,
-7.3120347e-05,-5.00000e-02,
-7.3110350e-05,-5.00000e-02,
-7.3100353e-05,-5.00000e-02,
-7.3090356e-05,-5.00000e-02,
-7.3080359e-05,-5.00000e-02,
-7.3070361e-05,-5.00000e-02,
-7.3060364e-05,-5.00000e-02,
-7.3050367e-05,-5.00000e-02,
-7.3040370e-05,-5.00000e-02,
-7.3030373e-05,-5.00000e-02,
-7.3020376e-05,-5.00000e-02,
-7.3010378e-05,-5.00000e-02,
-7.3000381e-05,-5.00000e-02,
-7.2990384e-05,-5.00000e-02,
-7.2980387e-05,-5.00000e-02,
-7.2970390e-05,-5.00000e-02,
-7.2960393e-05,-5.00000e-02,
-7.2950395e-05,-5.00000e-02,
-7.2940398e-05,-5.00000e-02,
-7.2930401e-05,-5.00000e-02,
-7.2920404e-05,-5.00000e-02,
-7.2910407e-05,-5.00000e-02,
-7.2900410e-05,-5.00000e-02,
-7.2890412e-05,-5.00000e-02,
-7.2880415e-05,-5.00000e-02,
