Time,X(CH1),
Second,Volt,
-1.5284000e-04,-4.16000e-01,
-1.5282001e-04,-4.16000e-01,
-1.5280001e-04,-4.16000e-01,
-1.5278002e-04,-4.16000e-01,
-1.5276003e-04,-4.16000e-01,
-1.5274003e-04,-4.16000e-01,
-1.5272004e-04,-4.16000e-01,
-1.5270004e-04,-4.16000e-01,
-1.5268005e-04,-4.16000e-01,
-1.5266005e-04,-4.16000e-01,
-1.5264006e-04,-4.16000e-01,
-1.5262006e-04,-4.16000e-01,
-1.5260007e-04,-4.16000e-01,
-1.5258008e-04,-4.16000e-01,
-1.5256008e-04,-4.16000e-01,
-1.5254009e-04,-4.16000e-01,
-1.5252009e-04,-4.16000e-01,
-1.5250010e-04,-4.16000e-01,
-1.5248010e-04,-4.16000e-01,
-1.5246011e-04,-4.16000e-01,
-1.5244012e-04,-4.16000e-01,
-1.5242012e-04,-4.16000e-01,
-1.5240013e-04,-4.16000e-01,
-1.5238013e-04,-4.16000e-01,
-1.5236014e-04,-4.16000e-01,
-1.5234014e-04,-4.16000e-01,
-1.5232015e-04,-4.16000e-01,
-1.5230016e-04,-4.16000e-01,
-1.5228016e-04,-4.16000e-01,
-1.5226017e-04,-4.16000e-01,
-1.5224017e-04,-4.16000e-01,
-1.5222018e-04,-4.16000e-01,
-1.5220018e-04,-4.16000e-01,
-1.5218019e-04,-4.16000e-01,
-1.5216020e-04,-4.16000e-01,
-1.5214020e-04,-4.16000e-01,
-1.5212021e-04,-4.16000e-01,
-1.5210021e-04,-4.16000e-01,
-1.5208022e-04,-4.16000e-01,
-1.5206022e-04,-4.16000e-01,
-1.5204023e-04,-4.16000e-01,
-1.5202023e-04,-4.16000e-01,
-1.5200024e-04,-4.16000e-01,
-1.5198025e-04,-4.16000e-01,
-1.5196025e-04,-4.16000e-01,
-1.5194026e-04,-4.16000e-01,
-1.5192026e-04,-4.16000e-01,
-1.5190027e-04,-4.16000e-01,
-1.5188027e-04,-4.16000e-01,
-1.5186028e-04,-4.16000e-01,
-1.5184029e-04,-4.16000e-01,
-1.5182029e-04,-4.16000e-01,
-1.5180030e-04,-4.16000e-01,
-1.5178030e-04,-4.16000e-01,
-1.5176031e-04,-4.16000e-01,
-1.5174031e-04,-4.16000e-01,
-1.5172032e-04,-4.16000e-01,
-1.5170033e-04,-4.16000e-01,
-1.5168033e-04,-4.16000e-01,
-1.5166034e-04,-4.16000e-01,
-1.5164034e-04,-4.16000e-01,
-1.5162035e-04,-4.16000e-01,
-1.5160035e-04,-4.16000e-01,
-1.5158036e-04,-4.16000e-01,
-1.5156037e-04,-4.16000e-01,
-1.5154037e-04,-4.16000e-01,
-1.5152038e-04,-4.16000e-01,
-1.5150038e-04,-4.16000e-01,
-1.5148039e-04,-4.16000e-01,
-1.5146039e-04,-4.16000e-01,
-1.5144040e-04,-4.16000e-01,
-1.5142041e-04,-4.16000e-01,
-1.5140041e-04,-4.16000e-01,
-1.5138042e-04,-4.16000e-01,
-1.5136042e-04,-4.16000e-01,
-1.5134043e-04,-4.16000e-01,
-1.5132043e-04,-4.16000e-01,
-1.5130044e-04,-4.16000e-01,
-1.5128044e-04,-4.16000e-01,
-1.5126045e-04,-4.16000e-01,
-1.5124046e-04,-4.16000e-01,
-1.5122046e-04,-4.16000e-01,
-1.5120047e-04,-4.16000e-01,
-1.5118047e-04,-4.16000e-01,
-1.5116048e-04,-4.16000e-01,
-1.5114048e-04,-4.16000e-01,
-1.5112049e-04,-4.16000e-01,
-1.5110050e-04,-4.16000e-01,
-1.5108050e-04,-4.16000e-01,
-1.5106051e-04,-4.16000e-01,
-1.5104051e-04,-4.16000e-01,
-1.5102052e-04,-4.16000e-01,
-1.5100052e-04,-4.16000e-01,
-1.5098053e-04,-4.16000e-01,
-1.5096054e-04,-4.16000e-01,
-1.5094054e-04,-4.16000e-01,
-1.5092055e-04,-4.16000e-01,
-1.5090055e-04,-4.16000e-01,
-1.5088056e-04,-4.16000e-01,
-1.5086056e-04,-4.16000e-01,
-1.5084057e-04,-4.16000e-01,
-1.5082058e-04,-4.16000e-01,
-1.5080058e-04,-4.16000e-01,
-1.5078059e-04,-4.16000e-01,
-1.5076059e-04,-4.16000e-01,
-1.5074060e-04,-4.16000e-01,
-1.5072060e-04,-4.16000e-01,
-1.5070061e-04,-4.16000e-01,
-1.5068061e-04,-4.16000e-01,
-1.5066062e-04,-4.16000e-01,
-1.5064063e-04,-4.16000e-01,
-1.5062063e-04,-4.16000e-01,
-1.5060064e-04,-4.16000e-01,
-1.5058064e-04,-4.16000e-01,
-1.5056065e-04,-4.16000e-01,
-1.5054065e-04,-4.16000e-01,
-1.5052066e-04,-4.16000e-01,
-1.5050067e-04,-4.16000e-01,
-1.5048067e-04,-4.16000e-01,
-1.5046068e-04,-4.16000e-01,
-1.5044068e-04,-4.16000e-01,
-1.5042069e-04,-4.16000e-01,
-1.5040069e-04,-4.16000e-01,
-1.5038070e-04,-4.16000e-01,
-1.5036071e-04,-4.16000e-01,
-1.5034071e-04,-4.16000e-01,
-1.5032072e-04,-4.16000e-01,
-1.5030072e-04,-4.16000e-01,
-1.5028073e-04,-4.16000e-01,
-1.5026073e-04,-4.16000e-01,
-1.5024074e-04,-4.16000e-01,
-1.5022075e-04,-4.16000e-01,
-1.5020075e-04,-4.16000e-01,
-1.5018076e-04,-4.16000e-01,
-1.5016076e-04,-4.16000e-01,
-1.5014077e-04,-4.16000e-01,
-1.5012077e-04,-4.16000e-01,
-1.5010078e-04,-4.16000e-01,
-1.5008078e-04,-4.16000e-01,
-1.5006079e-04,-4.16000e-01,
-1.5004080e-04,-4.16000e-01,
-1.5002080e-04,-4.16000e-01,
-1.5000081e-04,-4.16000e-01,
-1.4998081e-04,-4.16000e-01,
-1.4996082e-04,-4.16000e-01,
-1.4994082e-04,-4.16000e-01,
-1.4992083e-04,-4.16000e-01,
-1.4990084e-04,-4.16000e-01,
-1.4988084e-04,-4.16000e-01,
-1.4986085e-04,-4.16000e-01,
-1.4984085e-04,-4.16000e-01,
-1.4982086e-04,-4.16000e-01,
-1.4980086e-04,-4.16000e-01,
-1.4978087e-04,-4.16000e-01,
-1.4976088e-04,-4.16000e-01,
-1.4974088e-04,-4.16000e-01,
-1.4972089e-04,-4.16000e-01,
-1.4970089e-04,-4.16000e-01,
-1.4968090e-04,-4.16000e-01,
-1.4966090e-04,-4.16000e-01,
-1.4964091e-04,-4.16000e-01,
-1.4962092e-04,-4.16000e-01,
-1.4960092e-04,-4.16000e-01,
-1.4958093e-04,-4.16000e-01,
-1.4956093e-04,-4.16000e-01,
-1.4954094e-04,-4.16000e-01,
-1.4952094e-04,-4.16000e-01,
-1.4950095e-04,-4.16000e-01,
-1.4948095e-04,-4.16000e-01,
-1.4946096e-04,-4.16000e-01,
-1.4944097e-04,-4.16000e-01,
-1.4942097e-04,-4.16000e-01,
-1.4940098e-04,-4.16000e-01,
-1.4938098e-04,-4.16000e-01,
-1.4936099e-04,-4.16000e-01,
-1.4934099e-04,-4.16000e-01,
-1.4932100e-04,-4.16000e-01,
-1.4930101e-04,-4.16000e-01,
-1.4928101e-04,-4.16000e-01,
-1.4926102e-04,-4.16000e-01,
-1.4924102e-04,-4.16000e-01,
-1.4922103e-04,-4.16000e-01,
-1.4920103e-04,-4.16000e-01,
-1.4918104e-04,-4.16000e-01,
-1.4916105e-04,-4.16000e-01,
-1.4914105e-04,-4.16000e-01,
-1.4912106e-04,-4.16000e-01,
-1.4910106e-04,-4.16000e-01,
-1.4908107e-04,-4.16000e-01,
