Time,X(CH1),
Second,Volt,
-1.4023999e-04,2.02400e-01,
-1.4022000e-04,2.02400e-01,
-1.4020001e-04,2.02400e-01,
-1.4018001e-04,2.02400e-01,
-1.4016002e-04,2.02400e-01,
-1.4014002e-04,2.02400e-01,
-1.4012003e-04,2.02400e-01,
-1.4010003e-04,2.02400e-01,
-1.4008004e-04,2.02400e-01,
-1.4006004e-04,2.02400e-01,
-1.4004005e-04,2.02400e-01,
-1.4002006e-04,2.02400e-01,
-1.4000006e-04,2.02400e-01,
-1.3998007e-04,2.02400e-01,
-1.3996007e-04,2.02400e-01,
-1.3994008e-04,2.02400e-01,
-1.3992008e-04,2.02400e-01,
-1.3990009e-04,2.02400e-01,
-1.3988010e-04,2.02400e-01,
-1.3986010e-04,2.02400e-01,
-1.3984011e-04,2.02400e-01,
-1.3982011e-04,2.02400e-01,
-1.3980012e-04,2.02400e-01,
-1.3978012e-04,2.02400e-01,
-1.3976013e-04,2.02400e-01,
-1.3974014e-04,2.02400e-01,
-1.3972014e-04,2.02400e-01,
-1.3970015e-04,2.02400e-01,
-1.3968015e-04,2.02400e-01,
-1.3966016e-04,2.02400e-01,
-1.3964016e-04,2.02400e-01,
-1.3962017e-04,2.02400e-01,
-1.3960018e-04,2.02400e-01,
-1.3958018e-04,2.02400e-01,
-1.3956019e-04,2.02400e-01,
-1.3954019e-04,2.02400e-01,
-1.3952020e-04,2.02400e-01,
-1.3950020e-04,2.02400e-01,
-1.3948021e-04,2.02400e-01,
-1.3946021e-04,2.02400e-01,
-1.3944022e-04,2.02400e-01,
-1.3942023e-04,2.02400e-01,
-1.3940023e-04,2.02400e-01,
-1.3938024e-04,2.02400e-01,
-1.3936024e-04,2.02400e-01,
-1.3934025e-04,2.02400e-01,
-1.3932025e-04,2.02400e-01,
-1.3930026e-04,2.02400e-01,
-1.3928027e-04,2.02400e-01,
-1.3926027e-04,2.02400e-01,
-1.3924028e-04,2.02400e-01,
-1.3922028e-04,2.02400e-01,
-1.3920029e-04,2.02400e-01,
-1.3918029e-04,2.02400e-01,
-1.3916030e-04,2.02400e-01,
-1.3914031e-04,2.02400e-01,
-1.3912031e-04,2.02400e-01,
-1.3910032e-04,2.02400e-01,
-1.3908032e-04,2.02400e-01,
-1.3906033e-04,2.02400e-01,
-1.3904033e-04,2.02400e-01,
-1.3902034e-04,2.02400e-01,
-1.3900035e-04,2.02400e-01,
-1.3898035e-04,2.02400e-01,
-1.3896036e-04,2.02400e-01,
-1.3894036e-04,2.02400e-01,
-1.3892037e-04,2.02400e-01,
-1.3890037e-04,2.02400e-01,
-1.3888038e-04,2.02400e-01,
-1.3886039e-04,2.02400e-01,
-1.3884039e-04,2.02400e-01,
-1.3882040e-04,2.02400e-01,
-1.3880040e-04,2.02400e-01,
-1.3878041e-04,2.02400e-01,
-1.3876041e-04,2.02400e-01,
-1.3874042e-04,2.02400e-01,
